Job Title,Company Name,Job Location,Salary Range,Company Link
Digital Systems Officer,PT. Collins Higgins Commodities,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Collins-Higgins-Commodities-jobs
"Development & Promotion Analyst Staff - Wilayah Kuta, Bali",PT Sinar Sosro,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Sinar-Sosro-jobs
Data Entry specialist,PT Mangrove Data Group,"Denpasar Barat, Bali","Rp 3,500,000 – Rp 4,500,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=62077917
Administrasi Staff Kantor Pemasaran (Denpasar),PT ASURANSI SIMAS JIWA,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Simas-Life-Insurance-jobs
Sales Support,PT Surya Cipta Sempurna,"Denpasar, Bali","Rp 3,500,000 – Rp 5,000,000 per month",https://www.jobstreet.co.id/id/SCS-Group-jobs
Korean Administrator,PT Sistar Indonesia,"Kuta Selatan, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Sistar-Indonesia-jobs
Admin,PT. Duta Padmana Lestari,"Badung, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/jobs?advertiserid=61918017
Admin Pelanggan,PT Sujindo Makmur Cemerlang,"Denpasar Utara, Bali","Rp 2,800,000 – Rp 3,100,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=61127842
Operational Staff - Administrasi,Sari Rasa Group,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Sari-Rasa-Group-jobs
Data Entry,PT In Fashion,"Badung, Bali","Rp 3,500,000 – Rp 4,500,000 per month",https://www.jobstreet.co.id/id/In-Fashion-jobs
Administrasi (Denpasar),Koperasi Karyawan PT Tigaraksa Satria (Kopkara),"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Tigaraksa-Satria-jobs
Admin ( Bali ),PT Karya Sukses Propertindo,Bali,"Rp 2,000,000 – Rp 2,500,000 per month",https://www.jobstreet.co.id/id/Bandung-Utara-Realty-jobs
Inventory Controller,Paramatex,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Paramatex-jobs
Planogram Coordinator,PT. Circleka Indonesia Utama,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Circleka-Indonesia-Utama-jobs
Corporate Account Manager (Bali),PT Cyberindo Aditama (CBN),"Kuta, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Cyberindo-Aditama-jobs
Costing Staff,PT Morato Bali Jayaraya,"Badung, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/PT-Morato-Bali-Jayaraya-jobs
manager hotel rita Bali,CV Apotik Five,Bali,"Rp 4,000,000 – Rp 4,500,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=62043565
Procurement Project Leader,PT Avia Technics Dirgantara,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Avia-Technics-Dirgantara-jobs
Mandarin Speaking Staff for wedding planner,PT Menaravisi Tour & Travel ( Varawedding ),"Badung, Bali","Rp 7,000,000 – Rp 9,800,000 per month",https://www.jobstreet.co.id/id/Menaravisi-Tour-&amp;-Travel-jobs
Internal Audit Supervisor,PT. SANDS TALK INDONESIA,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Sands-Talk-Indonesia-jobs
Engineering,Adi Pangan Sejahtera Bali,"Tabanan, Bali","Rp 2,800,000 – Rp 3,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=61959280
Executive Personal Assistant,Pengiklan Privat,Bali,"Rp 10,000,000 – Rp 15,000,000 per month",Company Link is not available
Marketing Specialist,PT. Smart Advisory Solutions,"Badung, Bali",Rp 8.000.000 – Rp 10.000.000 per month,https://www.jobstreet.co.id/id/Smart-Advisory-Solutions-jobs
JUNIOR STOCK KEEPER - BALI,Boga Group,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Boga-Group-jobs
OFFICE COORDINATOR,PT.DELTA FOOD DISTRIBUSI,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Delta-Food-Distribution-jobs
Wellness Studio Operations Manager,Bali Pravilo Center,Bali,"Rp 10,000,000 – Rp 15,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=62171172
Area Manager (Bali),PT. Tianxing Cloud Supply Chain (Polibeli),Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Tianxing-Cloud-Supply-Chain-jobs
ADMIN / PA / ACCOUNTANT,Studio Isla,Bali,"Rp 5,000,000 – Rp 7,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=60278148
SALES ADMIN,PT MANDALA KRIYA SEMESTA,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/jobs?advertiserid=60227091
Account Executive (Area Denpasar),PT Karya Solusi Prima Sejahtera,Bali,"Rp 6,000,000 – Rp 8,000,000 per month",https://www.jobstreet.co.id/id/Prima-Sejahtera-Solutions-Works-jobs
Head of Business (Bali),Siloam Hospitals Group (Tbk),Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Siloam-Hospitals-Group-jobs
BUSINESS - ASSISTANT,Pengiklan Privat,Bali,Rp 5.000.000 – Rp 7.500.000 per month,Company Link is not available
BUSINESS - ASSISTANT,Rodnik Easy Pro,Bali,Rp 5.000.000 – Rp 7.500.000 per month,https://www.jobstreet.co.id/id/jobs?advertiserid=62189241
Human Resource Assistant Manager,PT Karang Mas Sejahtera,"Badung, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Karang-Mas-Sejahtera-jobs
Refraksionis Optisien (Refraksi Optisi) (RO) (Optisi Cek Mata) (Optometrist),PT. Samudra Sakti Utama (Sunset Eyewear),"Badung, Bali","Rp 4,000,000 – Rp 5,600,000 per month",https://www.jobstreet.co.id/id/Sunset-Eyewear-jobs
Apoteker Penanggung Jawab,PT. Pakar Jamur Bali,"Denpasar Barat, Bali",Rp 4.000.000 – Rp 5.500.000 per month,https://www.jobstreet.co.id/id/jobs?advertiserid=62196180
Admin Sales,PT Surya Cipta Sempurna,"Denpasar, Bali","Rp 2,500,000 – Rp 3,500,000 per month",https://www.jobstreet.co.id/id/SCS-Group-jobs
SPECIFIER SPECIALIST STAFF AREA BALI,PT Alderon Pratama Indonesia,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Alderon-Pratama-Indonesia-jobs
HR & GA Manager,Pengiklan Privat,"Denpasar, Bali","Rp 13,500,000 – Rp 15,000,000 per month",Company Link is not available
Executive Personal Assistant,Pengiklan Privat,Bali,"Rp 10,000,000 – Rp 15,000,000 per month",Company Link is not available
Accounting & Tax Specialist (Bali),PT Cekindo Business International,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Cekindo-Business-International-jobs
Estimating Engineer,PT. THE CUBE GROUP,"Badung, Bali","Rp 5,000,000 – Rp 6,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=61844996
Social Media Specialist (Instagram),Rama Digital Agency,Bali,"Rp 3,000,000 – Rp 3,500,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=61111669
Purchasing & Procurement - Bali Based,PT Daewoong Pharmaceutical Company Indonesia,"Kuta Utara, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Daewoong-Pharmaceutical-jobs
Account Manager,VILLA FINDER,Bali,"Rp 5,333,333 – Rp 8,000,000 per month",https://www.jobstreet.co.id/id/Villa+Finder.com-jobs
Social Media Assistant,PT Melium Nusantara (Seminyak Village),"Badung, Bali","Rp 4,000,000 – Rp 5,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=60912383
Relationship Officer - Penempatan Denpasar,PT BCA Finance,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/BCA-Multifinance-jobs
Tender Specialist/ Purchasing Specialist,PT. THE CUBE GROUP,Bali,"Rp 5,000,000 – Rp 6,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=61844996
HR-HUMAN RESOURCE DEPARTMENT,Anaya Aesthetics,"Badung, Bali",Rp 5.000.000 – Rp 7.000.000 per month,https://www.jobstreet.co.id/id/jobs?advertiserid=60476710
Talent and Culture Director,Baked.Indonesia,"Badung, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Baked.Indonesia-jobs
Sales Corporate,PT. Mora Telematika Indonesia TBK,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Mora-Telematika-Indonesia-jobs
Structure Design and Calculation Engineer,PT Ecocomplect Group Indonesia,Bali,"Rp 12,000,000 – Rp 18,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=61183529
Assistant Head Of Sales,PT Bintang Bali Indah,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Bintang-Bali-Indah-jobs
HR Operasional,PT Cut Make Trim,Bali,Rp 4.000.000 – Rp 5.000.000 per month,https://www.jobstreet.co.id/id/Cut-Make-Trim-jobs
Modern Market Promotion Supervisor,Savoria Group,"Denpasar, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/Savoria-Group-jobs
Account Receivable,PT Tamora Lautan Biru,Bali,"Rp 3,500,000 – Rp 5,000,000 per month",https://www.jobstreet.co.id/id/jobs?advertiserid=60405274
Pengawas proyek / Supervisor Proyek,DELTACO,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Deltaco-jobs
Business Relationship Manager (BRM) - Channel Multifinance (Bali),"PT ZURICH ASURANSI INDONESIA, Tbk",Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Zurich-Insurance-Group-jobs
SOCIAL MEDIA SPECIALIST,PT Cemerlang Global Media,"Badung, Bali",Salary Range is not available,https://www.jobstreet.co.id/id/jobs?advertiserid=60872755
Asst. Manager Restaurant,PT KOHEI THE LABEL,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/jobs?advertiserid=61722203
Quantity Surveyor,Saang Contractor,"Badung, Bali",Rp 3.500.000 – Rp 4.000.000 per month,https://www.jobstreet.co.id/id/jobs?advertiserid=62048137
RESERVATION LEISURE CONSULTANT (reservation & quotation) - Bali office,PT Destination Asia,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/Destination-Asia-jobs
Area Manager (East Indonesia) - Based in Bali (Hybrid Working),PT Jobstreet Indonesia,Bali,Salary Range is not available,https://www.jobstreet.co.id/id/JobStreet-by-SEEK-jobs
Marketing Manager,PT. Bali Properti Konstruksi,"Badung, Bali","Rp 7,500,000 – Rp 11,000,000 per month",https://www.jobstreet.co.id/id/Bali-Property-Constructions-jobs
